,0,1
1099,2429,8.4
1100,2429,91.5
1101,2429,100
1102,2429.1,28.3
1103,2429.1,100
1104,2429.1,100
1105,2429.2,100
1106,2429.3,74.9
1107,2429.3,66.8
1108,2429.4,75.4
1109,2429.5,19.9
1110,2429.5,72.8
1111,2429.5,50
1112,2429.6,16
1113,2429.7,15.1
1114,2429.8,18.1
1115,2429.9,100
1116,2429.9,52.9
1117,2430,69.5
1118,2430,100
1119,2430,41.6
1120,2430,57.9
1121,2430,68
1122,2430,23.7
1123,2430,100
1124,2430,89.7
1125,2430,100
1126,2430,62.1
1127,2430,100
1128,2430,43.5
1129,2430,100
1130,2430.1,100
1131,2430.1,28.6
1132,2430.1,15.9
1133,2430.1,65.8
1134,2430.1,88.6
1135,2430.2,43.2
1136,2430.2,100
1137,2430.3,100
1138,2430.3,100
1139,2430.3,28.2
1140,2430.3,34.6
1141,2430.3,100
1142,2430.3,100
1143,2430.3,100
1144,2430.4,43.9
1145,2430.4,100
1146,2430.4,86.3
1147,2430.4,33.5
1148,2430.4,39.9
1149,2430.4,75.9
1150,2430.4,44.3
1151,2430.4,82.4
1152,2430.4,100
1153,2430.5,90.4
1154,2430.5,100
1155,2430.5,32.6
1156,2430.5,100
1157,2430.6,41.5
1158,2430.6,100
1159,2430.6,100
1160,2430.6,100
1161,2430.7,74
1162,2430.7,100
1163,2430.7,42.8
1164,2430.7,32.8
1165,2430.8,48.3
1166,2430.8,87.8
1167,2430.8,100
1168,2430.8,100
1169,2430.8,31.7
1170,2430.9,45.6
1171,2430.9,100
1172,2431,100
1173,2431,100
1174,2431,100
1175,2431.1,30.1
1176,2431.2,100
1177,2431.2,30.8
1178,2431.3,100
1179,2431.3,67.6
1180,2431.3,78.2
1181,2431.4,100
1182,2431.4,60.3
1183,2431.4,71.5
1184,2431.5,18.3
1185,2431.5,100
1186,2431.6,58
1187,2431.6,39.5
1188,2431.9,100
1189,2432.1,59.4
1190,2432.4,65.9
1191,2432.9,79.9
1192,2433,100
1193,2433.5,100
1194,2433.8,75.5
1195,2434.1,100
1196,2434.4,38.2
1197,2434.6,100
1198,2434.8,100
1199,2434.9,41.9
1200,2434.9,40.1
1201,2435,33.1
1202,2435,47.5
1203,2435,64.6
1204,2435,100
1205,2435.1,100
1206,2435.1,100
1207,2435.3,52.8
1208,2435.4,100
1209,2435.5,100
1210,2435.8,100
1211,2436.1,100
1212,2436.5,13.3
1213,2436.5,100
1214,2436.5,95.7
1215,2437.6,9.1
1216,2437.9,100
1217,2438.6,39.1
1218,2438.6,100
1219,2440.1,1.4
1220,2441.5,3.2
1221,2447.7,17.9
1222,2453.1,13
1223,2460.4,10.2
1224,2463.3,100
1225,2463.4,100
1226,2463.4,100
1227,2463.5,100
1228,2463.6,100
1229,2463.7,100
1230,2464.8,15
1231,2471,80.6
1232,2471.4,100
1233,2474,8.3
1234,2474,11.7
1235,2474.9,8.4
1236,2476.2,12.6
1237,2477.1,14.3
1238,2481.9,18.8
1239,2482.7,10.5
1240,2483.1,7.7
1241,2483.3,7.1
1242,2483.3,11.6
1243,2484,6.2
1244,2484.5,8.1
1245,2485.5,13
1246,2485.8,31.8
1247,2486.4,3.4
1248,2486.7,15.9
1249,2487,5.4
1250,2487.8,9.4
1251,2488,3.9
1252,2488.1,5
1253,2488.3,24.7
1254,2488.4,18.2
1255,2488.4,16.5
1256,2488.8,6.9
1257,2497.7,8.5
1258,2498.3,20
1259,2498.5,9.7
1260,2498.7,7.3
1261,2499.5,11.1
1262,2501.3,12.3
1263,2505.9,18
1264,2506.9,7.5
1265,2507.3,6
1266,2507.6,9.6
1267,2507.7,14.6
1268,2507.9,24.5
1269,2508.4,10.7
1270,2508.6,6.3
1271,2509,7.2
1272,2510.1,17.2
1273,2510.6,6.8
1274,2510.9,8.3
1275,2511.1,1.1
1276,2513,8.7
1277,2514.2,15.7
1278,2519.1,4.9
1279,2520.7,6.7
1280,2521.4,17.6
1281,2521.6,10
1282,2526.1,3.2
1283,2527.9,13.9
1284,2528.1,6.3
1285,2530.2,16.9
1286,2532.8,5.7
1287,2533.1,12.7
1288,2533.1,5.6
1289,2533.1,19.3
1290,2534,3.5
1291,2534.8,2.1
1292,2534.8,5.3
1293,2535.3,1.8
1294,2536,1
1295,2539.5,6.6
1296,2542.6,5.5
1297,2543.1,4.5
1298,2543.8,12.3
1299,2545.6,1
1300,2550.3,4.7
1301,2550.5,100
1302,2551.6,83.7
1303,2553.3,5.1
1304,2559.3,6.4
1305,2565.6,4.2
1306,2565.7,5.3
1307,2581.7,8.6
1308,2582.3,7.8
